No,Nama Produk,Protein (gram),Gula (gram)
1,L-Men Protein Bar,7,4
2,Soyjoy Danish Cheese,6,2
3,Soyjoy Mochachoco Cashew,6,5
4,Soyjoy Raisin Almond,5,8
5,Soyjoy Almond & Chocolate,5,7
6,Soyjoy Strawberry,4,11
7,Soyjoy Tropical Cranberries,6,8
8,Soyjoy Kurma Nastar,5,7
9,Fitbar Tiramisu Delight,2,5
10,Fitbar Fruits Delight,2,6
11,Fitbar Choco Delight,2,5
12,Fitbar Protein Bar Chocolate,4,7
13,Yava Peanut Caramel,4,6
14,Yava Chocolate,3,6
15,Milo Sereal Bar,2,5
16,Granova Nuts & Seeds,4,5
17,Oatside Chocolate,1,6
18,Oatside Peanut Butter,1,5
19,Oatside Strawberry White Chocolate,1,5
20,7+ Yoghurt Berry,1,6
